,Digitizer,yyyyjjj,Latitude,LatSTD,dates
1411,92B7,2019282,28.57345,1.425554221562801e-05,2019-10-09
1417,92B7,2019283,28.57345,1.5328188520543343e-05,2019-10-10
1423,92B7,2019284,28.57345,1.5585542931279213e-05,2019-10-11
1429,92B7,2019285,28.57346111111111,1.5586992611522937e-05,2019-10-12
1435,92B7,2019286,28.573475,3.552713678800501e-15,2019-10-13
1441,92B7,2019287,28.573475,3.552713678800501e-15,2019-10-14
1447,92B7,2019288,28.573475,3.552713678800501e-15,2019-10-15
1468,92B7,2019292,28.573475,7.414028527593998e-06,2019-10-19
1474,92B7,2019293,28.573475,1.2500061415357065e-05,2019-10-20
1479,92B7,2019294,28.573466666666665,1.2136768855708228e-05,2019-10-21
1484,92B7,2019295,28.573458333333335,9.459642156041155e-06,2019-10-22
1489,92B7,2019296,28.573466666666665,1.1903850997431824e-05,2019-10-23
1494,92B7,2019297,28.573466666666665,1.3117645730921868e-05,2019-10-24
1499,92B7,2019298,28.57346111111111,9.829845028938176e-06,2019-10-25
1504,92B7,2019299,28.573466666666665,1.0043719896095612e-05,2019-10-26
1509,92B7,2019300,28.57346111111111,1.012736944902708e-05,2019-10-27
1514,92B7,2019301,28.573466666666665,8.797088765222778e-06,2019-10-28
1519,92B7,2019302,28.573466666666665,8.175186467566262e-06,2019-10-29
1524,92B7,2019303,28.573466666666665,1.0460923952979455e-05,2019-10-30
1529,92B7,2019304,28.57347777777778,1.2050838068051232e-05,2019-10-31
1534,92B7,2019305,28.57347777777778,9.28413481440597e-06,2019-11-01
1539,92B7,2019306,28.57347777777778,1.8007947608691743e-05,2019-11-02
1544,92B7,2019307,28.573469444444445,1.7038396456838172e-05,2019-11-03
1549,92B7,2019308,28.573455555555554,1.4237249006430864e-05,2019-11-04
1554,92B7,2019309,28.573455555555554,1.4351802380791072e-05,2019-11-05
1559,92B7,2019310,28.573444444444444,8.629073811160417e-06,2019-11-06
1564,92B7,2019311,28.57343611111111,3.552713678800501e-15,2019-11-07
1569,92B7,2019312,28.57343611111111,0.0,2019-11-08
1574,92B7,2019313,28.57343611111111,1.558450018320813e-05,2019-11-09
1579,92B7,2019314,28.573468055555555,9.368814831739416e-06,2019-11-10
1584,92B7,2019315,28.573469444444445,1.0686818430866182e-05,2019-11-11
1589,92B7,2019316,28.573466666666665,1.0072909832051183e-05,2019-11-12
1594,92B7,2019317,28.573458333333335,1.3906118749412056e-05,2019-11-13
1598,92B7,2019318,28.573458333333335,1.6754186493685186e-05,2019-11-14
1602,92B7,2019319,28.573458333333335,1.6326285199866906e-05,2019-11-15
